v_r(m/s)           v_z(m/s)           EVDF(m-3s-3)       
4.3843445809e+03   -1.7449691432e+06  0.0000000000e+00  
4.3843445809e+03   -1.7274317649e+06  0.0000000000e+00  
4.3843445809e+03   -1.7098943865e+06  0.0000000000e+00  
4.3843445809e+03   -1.6923570082e+06  0.0000000000e+00  
4.3843445809e+03   -1.6748196299e+06  0.0000000000e+00  
4.3843445809e+03   -1.6572822516e+06  0.0000000000e+00  
4.3843445809e+03   -1.6397448732e+06  0.0000000000e+00  
4.3843445809e+03   -1.6222074949e+06  0.0000000000e+00  
4.3843445809e+03   -1.6046701166e+06  0.0000000000e+00  
4.3843445809e+03   -1.5871327383e+06  0.0000000000e+00  
4.3843445809e+03   -1.5695953600e+06  0.0000000000e+00  
4.3843445809e+03   -1.5520579816e+06  0.0000000000e+00  
4.3843445809e+03   -1.5345206033e+06  0.0000000000e+00  
4.3843445809e+03   -1.5169832250e+06  0.0000000000e+00  
4.3843445809e+03   -1.4994458467e+06  0.0000000000e+00  
4.3843445809e+03   -1.4819084683e+06  0.0000000000e+00  
4.3843445809e+03   -1.4643710900e+06  0.0000000000e+00  
4.3843445809e+03   -1.4468337117e+06  0.0000000000e+00  
4.3843445809e+03   -1.4292963334e+06  0.0000000000e+00  
4.3843445809e+03   -1.4117589550e+06  0.0000000000e+00  
4.3843445809e+03   -1.3942215767e+06  0.0000000000e+00  
4.3843445809e+03   -1.3766841984e+06  0.0000000000e+00  
4.3843445809e+03   -1.3591468201e+06  0.0000000000e+00  
4.3843445809e+03   -1.3416094417e+06  0.0000000000e+00  
4.3843445809e+03   -1.3240720634e+06  0.0000000000e+00  
4.3843445809e+03   -1.3065346851e+06  0.0000000000e+00  
4.3843445809e+03   -1.2889973068e+06  9.4137740805e-24  
4.3843445809e+03   -1.2714599285e+06  0.0000000000e+00  
4.3843445809e+03   -1.2539225501e+06  0.0000000000e+00  
4.3843445809e+03   -1.2363851718e+06  0.0000000000e+00  
4.3843445809e+03   -1.2188477935e+06  0.0000000000e+00  
4.3843445809e+03   -1.2013104152e+06  0.0000000000e+00  
4.3843445809e+03   -1.1837730368e+06  9.4137740805e-24  
4.3843445809e+03   -1.1662356585e+06  2.8241322241e-23  
4.3843445809e+03   -1.1486982802e+06  2.8241322241e-23  
4.3843445809e+03   -1.1311609019e+06  1.8827548161e-23  
4.3843445809e+03   -1.1136235235e+06  4.7068870402e-23  
4.3843445809e+03   -1.0960861452e+06  2.8241322241e-23  
4.3843445809e+03   -1.0785487669e+06  3.7655096322e-23  
