v_r(m/s)           v_z(m/s)           EVDF(m-3s-3)       
7.3337491241e+03   -2.9188321514e+06  0.0000000000e+00  
7.3337491241e+03   -2.8894971549e+06  0.0000000000e+00  
7.3337491241e+03   -2.8601621584e+06  0.0000000000e+00  
7.3337491241e+03   -2.8308271619e+06  0.0000000000e+00  
7.3337491241e+03   -2.8014921654e+06  0.0000000000e+00  
7.3337491241e+03   -2.7721571689e+06  0.0000000000e+00  
7.3337491241e+03   -2.7428221724e+06  0.0000000000e+00  
7.3337491241e+03   -2.7134871759e+06  0.0000000000e+00  
7.3337491241e+03   -2.6841521794e+06  0.0000000000e+00  
7.3337491241e+03   -2.6548171829e+06  0.0000000000e+00  
7.3337491241e+03   -2.6254821864e+06  0.0000000000e+00  
7.3337491241e+03   -2.5961471899e+06  0.0000000000e+00  
7.3337491241e+03   -2.5668121934e+06  0.0000000000e+00  
7.3337491241e+03   -2.5374771969e+06  0.0000000000e+00  
7.3337491241e+03   -2.5081422004e+06  0.0000000000e+00  
7.3337491241e+03   -2.4788072039e+06  0.0000000000e+00  
7.3337491241e+03   -2.4494722074e+06  0.0000000000e+00  
7.3337491241e+03   -2.4201372110e+06  0.0000000000e+00  
7.3337491241e+03   -2.3908022145e+06  0.0000000000e+00  
7.3337491241e+03   -2.3614672180e+06  0.0000000000e+00  
7.3337491241e+03   -2.3321322215e+06  0.0000000000e+00  
7.3337491241e+03   -2.3027972250e+06  0.0000000000e+00  
7.3337491241e+03   -2.2734622285e+06  0.0000000000e+00  
7.3337491241e+03   -2.2441272320e+06  0.0000000000e+00  
7.3337491241e+03   -2.2147922355e+06  0.0000000000e+00  
7.3337491241e+03   -2.1854572390e+06  0.0000000000e+00  
7.3337491241e+03   -2.1561222425e+06  0.0000000000e+00  
7.3337491241e+03   -2.1267872460e+06  1.5230921913e-24  
7.3337491241e+03   -2.0974522495e+06  0.0000000000e+00  
7.3337491241e+03   -2.0681172530e+06  0.0000000000e+00  
7.3337491241e+03   -2.0387822565e+06  0.0000000000e+00  
7.3337491241e+03   -2.0094472600e+06  0.0000000000e+00  
7.3337491241e+03   -1.9801122635e+06  0.0000000000e+00  
7.3337491241e+03   -1.9507772670e+06  0.0000000000e+00  
7.3337491241e+03   -1.9214422705e+06  3.0461843827e-24  
7.3337491241e+03   -1.8921072740e+06  6.0923687653e-24  
