#Energy(eV)          EEDF(eV^-(3/2))     
9.2108856976e+00     9.6126077152e-03  
9.2804018160e+00     9.1637376462e-03  
9.3499179345e+00     8.8032482768e-03  
9.4194340530e+00     8.4296763491e-03  
9.4889501714e+00     8.0692241776e-03  
9.5584662899e+00     7.7374592938e-03  
9.6279824084e+00     7.4407929027e-03  
9.6974985269e+00     7.1221510482e-03  
9.7670146453e+00     6.8338937900e-03  
9.8365307638e+00     6.5515283384e-03  
9.9060468823e+00     6.2841374098e-03  
9.9755630008e+00     6.0414821764e-03  
1.0045079119e+01     5.7880123613e-03  
1.0114595238e+01     5.5659269551e-03  
1.0184111356e+01     5.3297259346e-03  
1.0253627475e+01     5.1173417476e-03  
1.0323143593e+01     4.9118688286e-03  
1.0392659712e+01     4.7345451603e-03  
1.0462175830e+01     4.5380423272e-03  
1.0531691949e+01     4.3619814439e-03  
1.0601208067e+01     4.1933559714e-03  
1.0670724185e+01     4.0040785370e-03  
1.0740240304e+01     3.8642700135e-03  
1.0809756422e+01     3.6952862699e-03  
1.0879272541e+01     3.5687992953e-03  
1.0948788659e+01     3.4155472631e-03  
1.1018304778e+01     3.2907326291e-03  
1.1087820896e+01     3.1548838419e-03  
1.1157337015e+01     3.0426546133e-03  
1.1226853133e+01     2.9039175260e-03  
1.1296369252e+01     2.7929867739e-03  
1.1365885370e+01     2.6800889313e-03  
1.1435401489e+01     2.5892882088e-03  
1.1504917607e+01     2.4806407685e-03  
1.1574433726e+01     2.3858772051e-03  
1.1643949844e+01     2.2990942273e-03  
1.1713465963e+01     2.1906690436e-03  
1.1782982081e+01     2.0996959766e-03  
1.1852498199e+01     2.0285253838e-03  
1.1922014318e+01     1.9513166848e-03  
1.1991530436e+01     1.8734240754e-03  
1.2061046555e+01     1.8039505334e-03  
1.2130562673e+01     1.7179980120e-03  
1.2200078792e+01     1.6553127427e-03  
1.2269594910e+01     1.5966521791e-03  
1.2339111029e+01     1.5323839573e-03  
1.2408627147e+01     1.4639831011e-03  
1.2478143266e+01     1.4082881538e-03  
1.2547659384e+01     1.3509371023e-03  
1.2617175503e+01     1.2937377504e-03  
1.2686691621e+01     1.2476595934e-03  
1.2756207740e+01     1.1954517910e-03  
1.2825723858e+01     1.1447416421e-03  
1.2895239977e+01     1.0980663040e-03  
1.2964756095e+01     1.0580156732e-03  
1.3034272214e+01     1.0212815147e-03  
1.3103788332e+01     9.7542428477e-04  
1.3173304450e+01     9.3873446341e-04  
1.3242820569e+01     8.9026634768e-04  
1.3312336687e+01     8.5366300674e-04  
1.3381852806e+01     8.2884393683e-04  
1.3451368924e+01     7.9620975679e-04  
1.3520885043e+01     7.6951314363e-04  
1.3590401161e+01     7.3713117980e-04  
1.3659917280e+01     6.9596697893e-04  
1.3729433398e+01     6.7072709412e-04  
1.3798949517e+01     6.5171190940e-04  
1.3868465635e+01     6.2222490258e-04  
1.3937981754e+01     5.9340299925e-04  
1.4007497872e+01     5.7051933445e-04  
1.4077013991e+01     5.4849373686e-04  
1.4146530109e+01     5.2725568347e-04  
1.4216046228e+01     4.9914274048e-04  
1.4285562346e+01     4.8224566471e-04  
1.4355078464e+01     4.6285158775e-04  
1.4424594583e+01     4.4441245803e-04  
1.4494110701e+01     4.2291570305e-04  
1.4563626820e+01     4.0756814059e-04  
1.4633142938e+01     3.9299796173e-04  
1.4702659057e+01     3.7173343722e-04  
1.4772175175e+01     3.5803211210e-04  
1.4841691294e+01     3.4444687850e-04  
1.4911207412e+01     3.3585695439e-04  
1.4980723531e+01     3.2009832231e-04  
1.5050239649e+01     3.0751685166e-04  
1.5119755768e+01     2.9749840327e-04  
1.5189271886e+01     2.8493137830e-04  
1.5258788005e+01     2.7149026970e-04  
1.5328304123e+01     2.5792794481e-04  
1.5397820242e+01     2.4969521489e-04  
1.5467336360e+01     2.3868432496e-04  
1.5536852479e+01     2.3144662472e-04  
1.5606368597e+01     2.1840388392e-04  
1.5675884715e+01     2.1526669974e-04  
1.5745400834e+01     2.0453118010e-04  
1.5814916952e+01     1.9426597724e-04  
1.5884433071e+01     1.8711478087e-04  
1.5953949189e+01     1.7784675496e-04  
1.6023465308e+01     1.7251312230e-04  
1.6092981426e+01     1.6164508366e-04  
1.6162497545e+01     1.5783807800e-04  
1.6232013663e+01     1.5058464546e-04  
1.6301529782e+01     1.4474058966e-04  
1.6371045900e+01     1.3608957540e-04  
1.6440562019e+01     1.3249018710e-04  
1.6510078137e+01     1.2954385215e-04  
1.6579594256e+01     1.2264174794e-04  
1.6649110374e+01     1.1791967887e-04  
1.6718626493e+01     1.1453128399e-04  
1.6788142611e+01     1.0775179796e-04  
1.6857658729e+01     1.0495999956e-04  
1.6927174848e+01     9.9581051293e-05  
1.6996690966e+01     9.4817759568e-05  
1.7066207085e+01     8.9726080244e-05  
1.7135723203e+01     8.7829471256e-05  
1.7205239322e+01     8.6021825151e-05  
1.7274755440e+01     8.0472216838e-05  
1.7344271559e+01     7.6050574115e-05  
1.7413787677e+01     7.4565658757e-05  
1.7483303796e+01     7.0839185097e-05  
1.7552819914e+01     6.7001878170e-05  
1.7622336033e+01     6.5807265272e-05  
1.7691852151e+01     6.2417329002e-05  
1.7761368270e+01     5.8062411058e-05  
1.7830884388e+01     5.6699970286e-05  
1.7900400507e+01     5.3370961114e-05  
1.7969916625e+01     5.3256317172e-05  
1.8039432744e+01     5.0703661670e-05  
1.8108948862e+01     4.8115938507e-05  
1.8178464980e+01     4.6528025650e-05  
1.8247981099e+01     4.5294329506e-05  
1.8317497217e+01     4.2922676207e-05  
1.8387013336e+01     4.0314138253e-05  
1.8456529454e+01     3.9724704496e-05  
1.8526045573e+01     3.7622478608e-05  
1.8595561691e+01     3.5528258437e-05  
1.8665077810e+01     3.4274418605e-05  
1.8734593928e+01     3.1751317537e-05  
1.8804110047e+01     3.3052721956e-05  
1.8873626165e+01     2.9768776089e-05  
1.8943142284e+01     2.8524218010e-05  
1.9012658402e+01     2.7504260734e-05  
1.9082174521e+01     2.6817435364e-05  
1.9151690639e+01     2.3843117522e-05  
1.9221206758e+01     2.4259336799e-05  
1.9290722876e+01     2.3178399840e-05  
1.9360238994e+01     2.2624536950e-05  
1.9429755113e+01     2.2159761040e-05  
1.9499271231e+01     2.0122129353e-05  
1.9568787350e+01     1.9251683438e-05  
1.9638303468e+01     1.9531380020e-05  
1.9707819587e+01     1.8459948330e-05  
1.9777335705e+01     1.7694259639e-05  
1.9846851824e+01     1.7404915277e-05  
1.9916367942e+01     1.5494155034e-05  
1.9985884061e+01     1.5413554189e-05  
2.0055400179e+01     1.4433841549e-05  
2.0124916298e+01     1.4066840243e-05  
2.0194432416e+01     1.2890175072e-05  
2.0263948535e+01     1.2676303592e-05  
2.0333464653e+01     1.1761349123e-05  
2.0402980772e+01     1.2197783644e-05  
2.0472496890e+01     1.1710746458e-05  
2.0542013009e+01     1.0431892963e-05  
2.0611529127e+01     9.6010003239e-06  
2.0681045245e+01     9.8062827985e-06  
2.0750561364e+01     9.4424615552e-06  
2.0820077482e+01     9.1219200559e-06  
2.0889593601e+01     8.5926399353e-06  
2.0959109719e+01     8.3165230235e-06  
2.1028625838e+01     8.2713946752e-06  
2.1098141956e+01     7.6000593117e-06  
2.1167658075e+01     7.6813718469e-06  
2.1237174193e+01     7.2733840263e-06  
2.1306690312e+01     6.9498563544e-06  
2.1376206430e+01     6.9178035334e-06  
2.1445722549e+01     6.4613304925e-06  
2.1515238667e+01     6.1304071159e-06  
2.1584754786e+01     5.5838200372e-06  
2.1654270904e+01     5.6572877479e-06  
2.1723787023e+01     4.9280539377e-06  
2.1793303141e+01     4.9715468801e-06  
2.1862819259e+01     4.9123594585e-06  
2.1932335378e+01     4.5871535951e-06  
2.2001851496e+01     4.5287862053e-06  
2.2071367615e+01     4.0521320715e-06  
2.2140883733e+01     3.9234756457e-06  
2.2210399852e+01     3.8868061536e-06  
2.2279915970e+01     3.1289718034e-06  
2.2349432089e+01     3.5906884388e-06  
2.2418948207e+01     3.3623132666e-06  
2.2488464326e+01     3.3166653314e-06  
2.2557980444e+01     3.0389537809e-06  
2.2627496563e+01     2.5604905076e-06  
2.2697012681e+01     2.5263707160e-06  
2.2766528800e+01     2.6029094605e-06  
2.2836044918e+01     2.5688410246e-06  
2.2905561037e+01     2.6851715342e-06  
2.2975077155e+01     2.4009906000e-06  
2.3044593274e+01     2.1875968958e-06  
2.3114109392e+01     2.2541227609e-06  
2.3183625510e+01     2.2407816996e-06  
2.3253141629e+01     2.1578766855e-06  
2.3322657747e+01     1.8369207336e-06  
2.3392173866e+01     1.7846165689e-06  
2.3461689984e+01     1.7324715442e-06  
2.3531206103e+01     1.6804845919e-06  
2.3600722221e+01     1.4509832380e-06  
2.3670238340e+01     1.5671245572e-06  
2.3739754458e+01     1.3286278892e-06  
2.3809270577e+01     1.4053053497e-06  
2.3878786695e+01     1.1677464096e-06  
2.3948302814e+01     1.3228302125e-06  
2.4017818932e+01     1.2034998363e-06  
2.4087335051e+01     1.2213027739e-06  
2.4156851169e+01     1.1610061143e-06  
2.4226367288e+01     1.1106274677e-06  
2.4295883406e+01     9.4365467151e-07  
2.4365399524e+01     1.1560267942e-06  
2.4434915643e+01     9.3126550881e-07  
2.4504431761e+01     9.8806510332e-07  
2.4573947880e+01     8.3189534118e-07  
2.4643463998e+01     8.2106162782e-07  
2.4712980117e+01     7.7167625057e-07  
2.4782496235e+01     7.6096078071e-07  
2.4852012354e+01     7.0218215298e-07  
2.4921528472e+01     4.7066992660e-07  
2.4991044591e+01     6.6185765059e-07  
2.5060560709e+01     5.7472960116e-07  
2.5130076828e+01     6.0263083364e-07  
2.5199592946e+01     5.7314194729e-07  
2.5269109065e+01     4.7696086544e-07  
2.5338625183e+01     4.2867553390e-07  
2.5408141302e+01     5.0419336814e-07  
2.5477657420e+01     5.6050562084e-07  
2.5547173539e+01     3.8897360772e-07  
2.5616689657e+01     4.6423970748e-07  
2.5686205775e+01     4.7307253264e-07  
2.5755721894e+01     3.4960092084e-07  
2.5825238012e+01     3.3025818154e-07  
2.5894754131e+01     4.3347059619e-07  
2.5964270249e+01     3.5760472093e-07  
2.6033786368e+01     2.2555386878e-07  
2.6103302486e+01     2.5340999682e-07  
2.6172818605e+01     2.9056557094e-07  
2.6242334723e+01     1.7785254041e-07  
2.6311850842e+01     3.2719002310e-07  
2.6381366960e+01     2.4273500335e-07  
2.6450883079e+01     1.7715002598e-07  
2.6520399197e+01     2.8865519144e-07  
2.6589915316e+01     2.4178122754e-07  
2.6659431434e+01     1.7645577109e-07  
2.6728947553e+01     2.1332640464e-07  
2.6798463671e+01     1.5747139694e-07  
2.6867979789e+01     1.5726755038e-07  
2.6937495908e+01     1.5706449342e-07  
2.7007012026e+01     1.2918065256e-07  
2.7076528145e+01     1.7509140187e-07  
2.7146044263e+01     1.7486706943e-07  
2.7215560382e+01     1.8383536531e-07  
2.7285076500e+01     1.4688082462e-07  
2.7354592619e+01     9.1683795041e-08  
2.7424108737e+01     1.0988102254e-07  
2.7493624856e+01     1.3717752569e-07  
2.7563140974e+01     1.1873717349e-07  
2.7632657093e+01     1.2770985716e-07  
2.7702173211e+01     7.2885439025e-08  
2.7771689330e+01     1.1829051170e-07  
2.7841205448e+01     9.9966934571e-08  
2.7910721567e+01     4.5382893242e-08  
2.7980237685e+01     9.0652963835e-08  
2.8049753804e+01     8.1486504775e-08  
2.8119269922e+01     8.1385717470e-08  
2.8188786040e+01     8.1285303222e-08  
2.8258302159e+01     5.4123506489e-08  
2.8327818277e+01     4.5047547072e-08  
2.8397334396e+01     5.3990850636e-08  
2.8466850514e+01     6.2912368688e-08  
2.8536366633e+01     4.4882637866e-08  
2.8605882751e+01     6.2759297004e-08  
2.8675398870e+01     8.9547398527e-08  
2.8744914988e+01     9.8382958496e-08  
2.8814431107e+01     5.3598660088e-08  
2.8883947225e+01     2.6767061122e-08  
2.8953463344e+01     4.4558180808e-08  
2.9022979462e+01     2.6702871435e-08  
2.9092495581e+01     1.7780632854e-08  
2.9162011699e+01     1.7759427560e-08  
2.9231527818e+01     3.5476595909e-08  
2.9301043936e+01     3.5434487175e-08  
2.9370560054e+01     1.7696264014e-08  
2.9440076173e+01     4.4188396980e-08  
2.9509592291e+01     8.8272637420e-09  
2.9579108410e+01     8.8168848275e-09  
2.9648624528e+01     4.4032712185e-08  
2.9718140647e+01     1.7592472714e-08  
2.9787656765e+01     2.6357899125e-08  
2.9857172884e+01     1.7551464563e-08  
2.9926689002e+01     1.7531067735e-08  
2.9996205121e+01     5.2532225558e-08  
3.0065721239e+01     4.3726216263e-08  
3.0135237358e+01     1.7470301286e-08  
3.0204753476e+01     1.7450185792e-08  
3.0274269595e+01     8.7150698105e-09  
3.0343785713e+01     0.0000000000e+00  
3.0413301832e+01     0.0000000000e+00  
3.0482817950e+01     8.6852065480e-09  
3.0552334069e+01     1.7350640280e-08  
3.0621850187e+01     1.7330934833e-08  
3.0691366305e+01     0.0000000000e+00  
3.0760882424e+01     8.6458622617e-09  
3.0830398542e+01     0.0000000000e+00  
3.0899914661e+01     0.0000000000e+00  
3.0969430779e+01     8.6167024408e-09  
3.1038946898e+01     2.5821143608e-08  
3.1108463016e+01     0.0000000000e+00  
3.1177979135e+01     2.5763507055e-08  
3.1247495253e+01     8.5782777123e-09  
3.1317011372e+01     0.0000000000e+00  
3.1386527490e+01     8.5592571175e-09  
3.1456043609e+01     0.0000000000e+00  
3.1525559727e+01     1.7080724974e-08  
3.1595075846e+01     0.0000000000e+00  
3.1664591964e+01     0.0000000000e+00  
3.1734108083e+01     8.5122537027e-09  
3.1803624201e+01     0.0000000000e+00  
3.1873140319e+01     1.6987335948e-08  
3.1942656438e+01     0.0000000000e+00  
3.2012172556e+01     8.4752034563e-09  
3.2081688675e+01     0.0000000000e+00  
3.2151204793e+01     8.4568588386e-09  
3.2220720912e+01     1.6895462175e-08  
3.2290237030e+01     8.4386328285e-09  
3.2359753149e+01     0.0000000000e+00  
3.2429269267e+01     0.0000000000e+00  
3.2498785386e+01     0.0000000000e+00  
3.2568301504e+01     0.0000000000e+00  
3.2637817623e+01     0.0000000000e+00  
3.2707333741e+01     8.3846538130e-09  
3.2776849860e+01     0.0000000000e+00  
3.2846365978e+01     8.3668896960e-09  
3.2915882097e+01     0.0000000000e+00  
3.2985398215e+01     0.0000000000e+00  
3.3054914334e+01     0.0000000000e+00  
3.3124430452e+01     0.0000000000e+00  
3.3193946570e+01     0.0000000000e+00  
3.3263462689e+01     0.0000000000e+00  
3.3332978807e+01     0.0000000000e+00  
3.3402494926e+01     0.0000000000e+00  
3.3472011044e+01     0.0000000000e+00  
