v_r(m/s)           v_z(m/s)           EVDF(m-3s-3)       
1.7538615311e+03   -6.9803688937e+05  0.0000000000e+00  
1.7538615311e+03   -6.9102144325e+05  0.0000000000e+00  
1.7538615311e+03   -6.8400599713e+05  0.0000000000e+00  
1.7538615311e+03   -6.7699055100e+05  0.0000000000e+00  
1.7538615311e+03   -6.6997510488e+05  0.0000000000e+00  
1.7538615311e+03   -6.6295965875e+05  0.0000000000e+00  
1.7538615311e+03   -6.5594421263e+05  0.0000000000e+00  
1.7538615311e+03   -6.4892876650e+05  0.0000000000e+00  
1.7538615311e+03   -6.4191332038e+05  0.0000000000e+00  
1.7538615311e+03   -6.3489787426e+05  0.0000000000e+00  
1.7538615311e+03   -6.2788242813e+05  0.0000000000e+00  
1.7538615311e+03   -6.2086698201e+05  0.0000000000e+00  
1.7538615311e+03   -6.1385153588e+05  0.0000000000e+00  
1.7538615311e+03   -6.0683608976e+05  0.0000000000e+00  
1.7538615311e+03   -5.9982064363e+05  0.0000000000e+00  
1.7538615311e+03   -5.9280519751e+05  0.0000000000e+00  
1.7538615311e+03   -5.8578975138e+05  0.0000000000e+00  
1.7538615311e+03   -5.7877430526e+05  0.0000000000e+00  
1.7538615311e+03   -5.7175885914e+05  0.0000000000e+00  
1.7538615311e+03   -5.6474341301e+05  0.0000000000e+00  
1.7538615311e+03   -5.5772796689e+05  1.0850201331e-22  
1.7538615311e+03   -5.5071252076e+05  0.0000000000e+00  
1.7538615311e+03   -5.4369707464e+05  0.0000000000e+00  
1.7538615311e+03   -5.3668162851e+05  0.0000000000e+00  
1.7538615311e+03   -5.2966618239e+05  0.0000000000e+00  
1.7538615311e+03   -5.2265073627e+05  0.0000000000e+00  
1.7538615311e+03   -5.1563529014e+05  0.0000000000e+00  
1.7538615311e+03   -5.0861984402e+05  0.0000000000e+00  
1.7538615311e+03   -5.0160439789e+05  0.0000000000e+00  
1.7538615311e+03   -4.9458895177e+05  0.0000000000e+00  
1.7538615311e+03   -4.8757350564e+05  0.0000000000e+00  
1.7538615311e+03   -4.8055805952e+05  0.0000000000e+00  
1.7538615311e+03   -4.7354261339e+05  0.0000000000e+00  
1.7538615311e+03   -4.6652716727e+05  0.0000000000e+00  
1.7538615311e+03   -4.5951172115e+05  0.0000000000e+00  
1.7538615311e+03   -4.5249627502e+05  1.0850201331e-22  
1.7538615311e+03   -4.4548082890e+05  2.1700402662e-22  
1.7538615311e+03   -4.3846538277e+05  3.2550603993e-22  
1.7538615311e+03   -4.3144993665e+05  3.2550603993e-22  
1.7538615311e+03   -4.2443449052e+05  1.0850201331e-22  
1.7538615311e+03   -4.1741904440e+05  5.4251006655e-22  
1.7538615311e+03   -4.1040359828e+05  7.5951409317e-22  
1.7538615311e+03   -4.0338815215e+05  1.7360322130e-21  
1.7538615311e+03   -3.9637270603e+05  2.1700402662e-21  
1.7538615311e+03   -3.8935725990e+05  2.1700402662e-21  
1.7538615311e+03   -3.8234181378e+05  4.6655865723e-21  
1.7538615311e+03   -3.7532636765e+05  6.6186228119e-21  
1.7538615311e+03   -3.6831092153e+05  9.1141691180e-21  
